Brachychiton populneus;24.330709
Pinus pinea;24.071428
Pittosporum tobira;24.069445
Abutilon grandiflorum;24.000000
Aloysia citriadora;24.000000
Eucalyptus citriodora;24.000000
Geoffroea decorticans;24.000000
Quercus macrocarpa;24.000000
Taxodium ascendens;24.000000
Taxodium mucronatum;24.000000
Araucaria angustifolia;23.945454
Olea europaea;23.823530
Jacaranda mimosifolia;23.798498
Copernicia alba;23.617022
Gleditsia amorphoides;23.600000
Cedrus atlantica;23.500000
Syzygium australe;23.500000
Phoenix reclinata;23.299999
Trithrinax campestris;23.285715
Sesbania punicea;23.166666
Cotoneaster acuminatus;23.000000
Roystonea regia;23.000000
Araucaria heterophylla;22.873016
Quercus borealis;22.866667
Cupressus lusitanica;22.476191
Pinus sp.;22.400000
Callistemon rigidus;22.294344
Robinia pseudoacacia v. casque rouge;22.285715
Araucaria cunninghamii;22.000000
Brachychiton acerifolium;22.000000
Prunus salicina;21.933332
Euphorbia cotinifolia;21.897436
Fraxinus sp.;21.888889
No identificado;21.797916
Callistemon citrinus;21.731853
Calocedrus decurrens f. aureovariegata;21.666666
Cedrus libani;21.545454
Ligustrum sinense;21.478571
Ligustrum ovalifolium;21.460318
Erythrina falcata;21.299999
Cupressus macrocarpa;21.274509
Trachycarpus fortunei;21.258823
Juniperus communis;21.166666
Magnolia grandiflora;21.144579
Acer platanoides;21.114286
Cupressus arizonica;20.965517
Laurus nobilis;20.878452
Hovenia dulcis;20.864864
Cestrum nocturnum;20.843750
Acacia sp.;20.833334
Ceratonia siliqua;20.750000
Schefflera sp.;20.600000
Hibiscus rosa-sinensis;20.542746
Thevetia peruviana;20.372093
Gardenia thunbergia;20.333334
Ficus benjamina variegata;20.054403
Fraxinus angustifolia;20.000000
Magnolia liliflora;20.000000
Podocarpus sp.;20.000000
Prunus cerasus;20.000000
Prunus serrulata;20.000000
Quercus rubra;20.000000
Synadenium grantii;20.000000
Punica granatum;19.882353
Ficus alii;19.857143
Dracaena sp.;19.705883
Celtis occidentalis;19.684210
Cryptomeria japonica;19.636364
Luehea divaricata;19.611111
Bougainvillea spectabilis;19.525774
Prunus domestica;19.434343
Liquidambar formosana;19.259260
Callistemon sp.;19.250000
Acer palmatum;19.158417
Erythrina americana;19.000000
Hibiscus mutabilis;19.000000
Podocarpus parlatorei;19.000000
Thuja occidentalis;18.943663
Persea americana;18.814438
Blepharocalyx salicifolius;18.775280
Euphorbia tirucalli;18.571428
Viburnum suspensum;18.400000
Ligustrum lucidum f. aureovariegata;18.325758
Acer pseudoplatanus;18.325001
Rhapis excelsa;18.285715
Juniperus virginiana;18.250000
Liquidambar styraciflua;18.224749
Peltophorum dubium;18.213333
Aesculus hippocastanum;18.111111
Calliandra tweediei;18.066668
Tecoma stans;18.051535
Fortunella margarita;18.000000
Jasminum fruticans;18.000000
Pereskia grandiflora;18.000000
Prunus avium;17.886793
Howea forsteriana;17.857143
Hibiscus syriacus;17.752888
Ligustrum sp.;17.750000
Mangifera indica;17.615385
Phoenix loureiri;17.547171
Euterpe edulis;17.500000
Prunus sp.;17.500000
Rhus typhina;17.472221
Sabal palmetto;17.454546
Viburnum tinus;17.363636
Acacia decurrens;17.333334
Acer japonicum;17.176470
Diospyros kaki;17.153847
Euphorbia pulcherrima;17.125000
Citrus medica;17.095238
Prosopis alba;17.090910
Liriodendron tulipifera;17.053921
Diospyros virginiana;17.000000
Jasminum officinale;17.000000
Poecilanthe parviflora;17.000000
Vitis sp.;17.000000
schefflera digitata;17.000000
Pinus radiata;16.833334
Acacia baileyana;16.771429
Lagunaria partesonii;16.666666
Morus sp.;16.666666
Prunus persica;16.654970
Ficus carica;16.433567
Eriobotrya japonica;16.380989
Myoporum laetum;16.333334
Albizia julibrissin;16.286995
Cydonia oblonga;16.250000
Carica papaya;16.217392
Psidium guajaba;16.083334
Handroanthus lapacho;16.027237
Anacardium occidentale;16.000000
Cecropia adenopus;16.000000
Pittosporum tenuifolium;16.000000
Senna spectabilis;16.000000
Leucaena leucocephala;15.931818
Prunus cerasifera f. atropurpurea;15.772664
Ginkgo biloba;15.767888
Solanum granulosum-leprosum;15.758620
Archontophoenix cunninghamiana;15.683333
Citrus reticulata;15.647863
Drimis winteri;15.500000
Acer rubrum;15.333333
Citrus aurantium;15.308390
Eugenia uniflora;15.129630
Manihot grahamii;15.071942
Phoenix roebelenii;15.066265
Fraxinus excelsior f.aurea;15.027197
Araucaria columnaris;15.000000
Castanea sativa;15.000000
Pittosporum tobira var. variegatum;15.000000
Sterculia monosperma;15.000000
Euphorbia haematodes;14.923077
Caesalpinia gilliesii;14.666667
Cordyline sp.;14.666667
Thuja orientalis;14.666667
Eugenia pungens;14.625000
Ricinus communis;14.342857
Ziziphus jujuba;14.235294
Citrus sinensis;14.223270
Butya capitata;14.000000
Buxus sempervirens variegata;14.000000
Condalia buxifolia;14.000000
Euonymus japonica;14.000000
Prosopis chilensis;14.000000
Vallesia glabra;14.000000
Handroanthus impetiginosus;13.886161
Citrus limon;13.837029
Parkinsonia aculeata;13.750000
Duranta erecta;13.739130
Acer campestre;13.666667
Quercus ilex;13.666667
Bauhinia variegata;13.534883
Citrus paradisi;13.500000
Pyrus communis;13.000000
Sambucus australis;13.000000
Yucca sp.;13.000000
Metrosideros citrinus;12.833333
Brunfelsia australis;12.684211
Plumeria rubra;12.666667
Quercus sp.;12.500000
Chamaecyparis lawsoniana;12.200000
Mespilus germanica;12.192307
Annona cherimola;12.125000
Acer saccharinum;12.039706
Aesculus x carnea;12.000000
Dracaena arborea;12.000000
Pyracantha coccinea;12.000000
Salix  viminalis;12.000000
Bauhinia forficata;11.959666
Betula pendula;11.911765
Lagerstroemia indica;11.708423
Brugmansia arborea;11.666667
Pinus taeda;11.452381
Acer buergerianum;11.152188
Handroanthus pulcherrimus;11.142858
Ficus microcarpa;11.000000
Philadelphus coronarius;11.000000
Eugenia myrtifolia;10.952381
Rhus succedanea;10.625000
Buxus sempervirens;10.600000
Plumeria alba;10.500000
Acca sellowiana;10.333333
Carica Papaya;10.000000
Datura metel;10.000000
Eucalyptus globulus var. globulus;10.000000
Ilex cornuta;10.000000
Ilex sp.;10.000000
Prunus laurocerasus;10.000000
Pterocarya rhoifolia;10.000000
Acer negundo f.aureo marginatum;9.750000
Thuja sp.;9.625000
Malvaviscus arboreus;9.600000
Picea abies;9.400000
Cercis siliquastrum;9.295455
Acer sp.;9.000000
Alnus glutinosa;9.000000
Camellia japonica;9.000000
Crataegus macrosperma;9.000000
Poncirus trifoliata;9.000000
Thuja plicata;9.000000
Ilex aquifolium;8.833333
Koelreuteria paniculata;8.666667
Photinia serrulata;8.478633
Nicotiana glauca;8.111111
Brunfelsia pauciflora;8.000000
Juglans mandshurica;8.000000
Salix babylonica var. sacramenta;8.000000
Photinia x fraseri;7.856010
Juglans australis;7.750000
Acer pseudoplatanus f. atropurpurea;7.500000
Juniperus sp.;6.000000
Senna corymbosa;5.114286
Duranta erecta variegata;5.000000
Eugenia sp.;5.000000
Senna pendula;5.000000
Sesbania virgata;5.000000
Eucalyptus cinerea;4.750000
Aspidosperma australe;4.000000
Brugmansia sp.;4.000000
Salix matsudana tortuosa;4.000000
Scutia buxifolia;4.000000
Abutilon pictum;3.000000
Schinus sp.;3.000000
Acer monspessolanum;2.000000
Cordia boissieri;2.000000
Tecoma stans ;2.000000
