tree name;diameter mean
Ceratonia siliqua;20.75
Schefflera sp.;20.6
Hibiscus rosa-sinensis;20.54
Thevetia peruviana;20.37
Gardenia thunbergia;20.33
Ficus benjamina variegata;20.05
Fraxinus angustifolia;20
Magnolia liliflora;20
Podocarpus sp.;20
Prunus cerasus;20
Prunus serrulata;20
Quercus rubra;20
Synadenium grantii;20
Punica granatum;19.88
Ficus alii;19.85
Dracaena sp.;19.7
Celtis occidentalis;19.68
Cryptomeria japonica;19.63
Luehea divaricata;19.61
Bougainvillea spectabilis;19.52
Prunus domestica;19.43
Callistemon sp.;19.25
Liquidambar formosana;19.25
Acer palmatum;19.15
Erythrina americana;19
Hibiscus mutabilis;19
Podocarpus parlatorei;19
Thuja occidentalis;18.94
Persea americana;18.81
Blepharocalyx salicifolius;18.77
Euphorbia tirucalli;18.57
Viburnum suspensum;18.39
Acer pseudoplatanus;18.32
Ligustrum lucidum f. aureovariegata;18.32
Rhapis excelsa;18.28
Juniperus virginiana;18.25
Liquidambar styraciflua;18.22
Peltophorum dubium;18.21
Aesculus hippocastanum;18.11
Calliandra tweediei;18.06
Tecoma stans;18.05
Fortunella margarita;18
Jasminum fruticans;18
Pereskia grandiflora;18
Prunus avium;17.88
Howea forsteriana;17.85
Hibiscus syriacus;17.75
Ligustrum sp.;17.75
Mangifera indica;17.61
Phoenix loureiri;17.54
Euterpe edulis;17.5
Prunus sp.;17.5
Rhus typhina;17.47
Sabal palmetto;17.45
Viburnum tinus;17.36
Acacia decurrens;17.33
Acer japonicum;17.17
Diospyros kaki;17.15
Euphorbia pulcherrima;17.12
Citrus medica;17.09
Prosopis alba;17.09
Liriodendron tulipifera;17.05
Diospyros virginiana;17
Jasminum officinale;17
Poecilanthe parviflora;17
Vitis sp.;17
schefflera digitata;17
Pinus radiata;16.83
Acacia baileyana;16.77
Lagunaria partesonii;16.66
Morus sp.;16.66
Prunus persica;16.65
Ficus carica;16.43
Eriobotrya japonica;16.38
Myoporum laetum;16.33
Albizia julibrissin;16.28
Cydonia oblonga;16.25
Carica papaya;16.21
Psidium guajaba;16.08
Handroanthus lapacho;16.02
Anacardium occidentale;16
Cecropia adenopus;16
Pittosporum tenuifolium;16
Senna spectabilis;16
Leucaena leucocephala;15.93
Prunus cerasifera f. atropurpurea;15.77
Ginkgo biloba;15.76
Solanum granulosum-leprosum;15.75
Archontophoenix cunninghamiana;15.68
Citrus reticulata;15.64
Drimis winteri;15.5
Acer rubrum;15.33
Citrus aurantium;15.3
Eugenia uniflora;15.12
Manihot grahamii;15.07
Phoenix roebelenii;15.06
Fraxinus excelsior f.aurea;15.02
Araucaria columnaris;15
Castanea sativa;15
Pittosporum tobira var. variegatum;15
Sterculia monosperma;15
Euphorbia haematodes;14.92
Caesalpinia gilliesii;14.66
Cordyline sp.;14.66
Thuja orientalis;14.66
Eugenia pungens;14.62
Ricinus communis;14.34
Ziziphus jujuba;14.23
Citrus sinensis;14.22
Butya capitata;14
Buxus sempervirens variegata;14
Condalia buxifolia;14
Euonymus japonica;14
Prosopis chilensis;14
Vallesia glabra;14
Handroanthus impetiginosus;13.88
Citrus limon;13.83
Parkinsonia aculeata;13.75
Duranta erecta;13.73
